country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_international,package_accomodation,package_food,package_transport_local,package_sightseeing,package_guided_tour,package_insurance,nights_stayed,payment_mode,first_trip,most_impressing,total_cost
SPAIN,45-64,Spouse,1,3,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20,Cash,Yes, Wildlife,30166500
UNITED KINGDOM,Jan-24,Alone,1,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,13,Cash,Yes,Friendly People,7112625
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,7,Cash,Yes,No comments,33481500
MALAYSIA,25-44,Friends/Relatives,2,4,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,Cash,Yes,Friendly People,6132750
FRANCE,25-44,Alone,1,0,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,Yes,"Wonderful Country, Landscape, Nature",4972500
SWEDEN,25-44,Friends/Relatives,2,0,Scientific and Academic,Hunting tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,25,Cash,Yes,Friendly People,1200000
ITALY,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,15,Cash,Yes,No comments,4143750
FRANCE,25-44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,Cash,Yes,"Wonderful Country, Landscape, Nature",9116250
SOUTH AFRICA,45-64,Friends/Relatives,4,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,No,Friendly People,6630000
DENMARK,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Cash,Yes, Wildlife,8357115
CANADA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Credit Card,Yes, Wildlife,9994725
UNITED KINGDOM,45-64,Friends/Relatives,2,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,14,Cash,Yes, Wildlife,9961575
KENYA,25-44,Alone,0,1,Other,Hunting tourism,others,Independent,No,No,No,No,No,No,No,5,Cash,No,Good service,994500
CZECH REPUBLIC,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Cash,Yes,Good service,2143000
FRANCE,25-44,Children,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,Cash,Yes,Excellent Experience,16566109
NEW ZEALAND,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,11,Cash,Yes,Friendly People,2635425
ITALY,25-44,Spouse and Children,2,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,0,Credit Card,Yes,No comments,10939500
SOUTH AFRICA,45-64,Alone,0,1,Business,Wildlife tourism,Trade fair,Independent,No,No,No,No,No,No,No,30,Cash,No,Friendly People,4972500
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,5,Credit Card,Yes,"Wonderful Country, Landscape, Nature",7508475
IRELAND,Jan-24,Alone,0,1,Volunteering,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,12,Cash,Yes,Friendly People,3679650
NETHERLANDS,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,No,"Wonderful Country, Landscape, Nature",3646500
KUWAIT,25-44,Spouse and Children,2,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,4,Cash,Yes,"Wonderful Country, Landscape, Nature",10601040
ITALY,45-64,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,3,Cash,Yes,"Wonderful Country, Landscape, Nature",19890000
ITALY,25-44,Friends/Relatives,2,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,0,Credit Card,Yes,No comments,6132750
FRANCE,45-64,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,11,Cash,Yes,Friendly People,414375
NORWAY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,Cash,Yes, Wildlife,6630000
IRELAND,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,Cash,Yes, Wildlife,4641000
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,Credit Card,Yes,Good service,25591800
FRANCE,Jan-24,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,No,No,5,Cash,Yes, Wildlife,2486250
CHINA,25-44,Friends/Relatives,10,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Cash,Yes, Wildlife,89505000
ZIMBABWE,45-64,Alone,0,1,Business,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,3,Cash,Yes,Good service,248625
KENYA,25-44,Alone,1,0,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,No,No comments,50000
FRANCE,25-44,Friends/Relatives,2,2,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,Cash,Yes,"Wonderful Country, Landscape, Nature",23601032
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,Cash,Yes, Wildlife,7649362.5
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Cash,Yes, Wildlife,14917500
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,6,Credit Card,Yes, Wildlife,52244400
FRANCE,45-64,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,0,Cash,No,Good service,6746025
ITALY,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,No,No,No,No,No,No,0,Cash,No,Friendly People,8623454
KENYA,25-44,Alone,0,1,Business,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,7,Cash,No,Friendly People,400000
MOZAMBIQUE,45-64,Alone,1,0,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Cash,No,Friendly People,2512770
GERMANY,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,Cash,Yes,"Wonderful Country, Landscape, Nature",12431250
AUSTRALIA,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes,Friendly People,8121750
SOUTH AFRICA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,4,Cash,No,No comments,4972500
UNITED KINGDOM,25-44,Alone,0,1,Leisure and Holidays,business,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Cash,Yes,No comments,7790250
GERMANY,45-64,Spouse and Children,3,3,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,5,Cash,Yes,No comments,3315000
UNITED KINGDOM,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,5,Cash,Yes,Friendly People,911625
ZIMBABWE,45-64,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,Yes,Friendly People,110000
LITHUANIA,25-44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,10,Cash,Yes,"Wonderful Country, Landscape, Nature",3315000
GERMANY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,9,Cash,Yes, Wildlife,4538660
CANADA,45-64,Spouse and Children,3,2,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,15,Cash,No,Good service,41437500
ZIMBABWE,25-44,Friends/Relatives,2,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,No,Friendly People,994500
ZAMBIA,45-64,Alone,0,1,Business,Wildlife tourism,Trade fair,Independent,No,No,No,No,No,No,No,4,Cash,Yes,Friendly People,110000
ZAMBIA,25-44,Alone,0,1,Business,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,7,Cash,No,No comments,331500
ZAMBIA,25-44,Alone,1,0,Business,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,3,Cash,No,No comments,130000
FRANCE,45-64,Spouse and Children,1,3,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Cash,Yes,No comments,12762750
CANADA,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,3,Cash,Yes,Excellent Experience,4413922.5
OMAN,45-64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,11,Credit Card,No,Excellent Experience,3315000
ZIMBABWE,25-44,Alone,1,0,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,Yes, Wildlife,75260
GERMANY,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10,Credit Card,Yes,Excellent Experience,14523712
ITALY,25-44,Children,1,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,Cash,Yes, Wildlife,7946055
ZIMBABWE,25-44,Friends/Relatives,0,2,Business,Hunting tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,3,Cash,No,No comments,3315000
UNITED KINGDOM,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Credit Card,Yes, Wildlife,1280272.5
BRAZIL,Jan-24,Alone,1,0,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10,Cash,Yes,"Wonderful Country, Landscape, Nature",6298500
GERMANY,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Yes,No,No,11,Cash,Yes,Friendly People,2269330
GERMANY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,10,Cash,Yes, Wildlife,6630000
UNITED KINGDOM,Jan-24,Alone,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,No,12,Cash,Yes,Good service,5055375
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,7,Cash,Yes,Friendly People,7293000
ITALY,25-44,Friends/Relatives,2,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,0,Cash,Yes,Friendly People,9304253
UNITED KINGDOM,Jan-24,Alone,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,13,Cash,Yes,Friendly People,6281925
SWEDEN,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,0,Credit Card,Yes,No comments,9531186
IRELAND,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,6,Credit Card,Yes,"Wonderful Country, Landscape, Nature",3149250
SRI LANKA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Cash,Yes,Friendly People,16740750
ITALY,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,Credit Card,No, Wildlife,12265500
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Cash,Yes,"Wonderful Country, Landscape, Nature",1134665
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,Yes,1,Cash,Yes, Wildlife,12027449
UNITED KINGDOM,Jan-24,Friends/Relatives,2,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,Cash,Yes, Wildlife,1657500
ZIMBABWE,25-44,Alone,0,1,Business,Hunting tourism,others,Independent,No,No,No,No,No,No,No,3,Cash,Yes,No comments,994500
ITALY,Jan-24,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,Cash,Yes,No comments,10665851
ZIMBABWE,45-64,Alone,0,1,Business,Hunting tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,Cash,No,Friendly People,1657500
UNITED STATES OF AMERICA,25-44,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,6,Cash,Yes,Good service,12182625
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,business,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,Cash,Yes,Friendly People,18232500
ITALY,25-44,Friends/Relatives,1,2,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,Cash,Yes,Friendly People,8850387
BRAZIL,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,5469750
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,Cash,Yes, Wildlife,19094400
KENYA,45-64,Alone,0,1,Business,Wildlife tourism,Trade fair,Independent,No,No,No,No,No,No,No,3,Cash,No,No comments,331500
TURKEY,25-44,Friends/Relatives,1,1,Visiting Friends and Relatives,business,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,1,Credit Card,Yes, Wildlife,2486250
AUSTRALIA,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,11,Cash,Yes,Friendly People,14254500
UNITED STATES OF AMERICA,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,9,Credit Card,Yes,Good service,8121750
UNITED STATES OF AMERICA,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,Cash,Yes,Friendly People,17569500
SOUTH AFRICA,25-44,Alone,0,1,Meetings and Conference,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,9,Cash,Yes,Friendly People,1657500
CANADA,25-44,Alone,1,0,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,14,Cash,Yes,Friendly People,5138250
UNITED STATES OF AMERICA,45-64,Friends/Relatives,1,1,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,No,No,No,14,Credit Card,No,Friendly People,314925
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,9,Cash,Yes,Friendly People,9116250
THAILAND,45-64,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,No,Friendly People,994500
IRELAND,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,Cash,Yes, Wildlife,5469750
UNITED KINGDOM,Jan-24,Alone,0,1,Volunteering,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,15,Cash,Yes, Wildlife,719611
CZECH REPUBLIC,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,10,Cash,Yes,Good service,2834325
JAPAN,45-64,Alone,0,1,Scientific and Academic,Hunting tourism,others,Package Tour,No,Yes,Yes,No,No,Yes,No,3,Cash,Yes,Excellent Experience,348075
MALAWI,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,Credit Card,No,Friendly People,2320500
SWIZERLAND,45-64,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,14,Cash,Yes,No comments,23536500
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,Cash,Yes,Friendly People,41233726.1
JAPAN,Jan-24,Alone,0,1,Scientific and Academic,Hunting tourism,others,Package Tour,No,Yes,Yes,No,No,Yes,No,3,Cash,Yes,"Wonderful Country, Landscape, Nature",314925
SOUTH AFRICA,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,No, Wildlife,776900
ITALY,Jan-24,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,17,Cash,Yes,"Wonderful Country, Landscape, Nature",5635500
DENMARK,Jan-24,Alone,0,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,14,Cash,Yes,Good service,75333375
NETHERLANDS,25-44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,Cash,Yes,"Wonderful Country, Landscape, Nature",2602275
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7,Cash,Yes, Wildlife,2836662.5
KENYA,45-64,Spouse and Children,2,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,Cash,No,Friendly People,828750
SPAIN,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,Cash,Yes,Friendly People,14977578
UNITED STATES OF AMERICA,25-44,Alone,1,0,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,12,Cash,Yes,Friendly People,36465000
UNITED KINGDOM,45-64,Alone,0,1,Business,Wildlife tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,30,Cash,No,Friendly People,497250
CANADA,45-64,Alone,1,0,Business,Wildlife tourism,others,Independent,No,No,No,No,No,No,No,15,Cash,Yes,Friendly People,1989000
ITALY,45-64,Alone,0,1,Business,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,3,Cash,Yes,Friendly People,580125
SOUTH AFRICA,25-44,Alone,1,0,Leisure and Holidays,Conference tourism,Trade fair,Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,9,Cash,Yes,Good service,4160325
UNITED KINGDOM,45-64,Spouse and Children,2,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,14,Cash,Yes,Friendly People,19061250
ITALY,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,Cash,Yes,"Wonderful Country, Landscape, Nature",994500
UNITED STATES OF AMERICA,65+,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,No,No,11,Cash,Yes,Friendly People,12845625
JAPAN,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,Cash,Yes, Wildlife,49725
AUSTRALIA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Cash,Yes,Good service,60498750
SWIZERLAND,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,2,Credit Card,Yes,Friendly People,3646500
UNITED STATES OF AMERICA,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes, Wildlife,7044375
CANADA,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,No,Yes,Yes,Yes,No,13,Cash,Yes, Wildlife,5452510
KOREA,45-64,Spouse,1,1,Volunteering,Hunting tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,46,Cash,Yes,Friendly People,4143750
SPAIN,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,Cash,Yes,No comments,6630000
UNITED STATES OF AMERICA,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Cash,Yes,No comments,7226700
ZAMBIA,Jan-24,Alone,0,1,Business,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,No,No,No,6,Credit Card,Yes,"Wonderful Country, Landscape, Nature",1290000
FRANCE,25-44,Spouse,1,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,No,Yes,0,Cash,Yes, Wildlife,5967000
GERMANY,25-44,Spouse and Children,2,3,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Package Tour,Yes,Yes,Yes,Yes,No,No,No,16,Cash,No, Wildlife,35139000
ZAMBIA,45-64,Friends/Relatives,0,2,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,Cash,No, Wildlife,331500
FRANCE,45-64,Spouse,1,1,Leisure and Holidays,Cultural tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,0,Cash,No,Friendly People,3315000
UNITED STATES OF AMERICA,25-44,Friends/Relatives,4,6,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Yes,No,No,15,Cash,Yes,Good service,86190000
FRANCE,Jan-24,Spouse and Children,2,3,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Cash,Yes,"Wonderful Country, Landscape, Nature",6807990
FRANCE,45-64,Spouse and Children,2,2,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Cash,No, Wildlife,45613533
INDIA,25-44,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Credit Card,No,Friendly People,663000
ITALY,25-44,Spouse and Children,2,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,1,Cash,Yes, Wildlife,21104769
GERMANY,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,others,Package Tour,Yes,No,Yes,Yes,No,No,No,0,Credit Card,Yes, Wildlife,17238000
ZIMBABWE,25-44,Alone,1,0,Business,Wildlife tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,1,Cash,No,No comments,256912.5
ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,0,Cash,Yes,"Wonderful Country, Landscape, Nature",8169588
ITALY,Jan-24,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,0,Cash,Yes,"Wonderful Country, Landscape, Nature",2817750
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,Cash,Yes,"Wonderful Country, Landscape, Nature",25525500
NETHERLANDS,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,5,Cash,Yes, Wildlife,7218412.5
KENYA,Jan-24,Spouse,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,Yes, Wildlife,994500
SPAIN,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,3,Credit Card,Yes, Wildlife,1160250
UNITED STATES OF AMERICA,45-64,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,Cash,Yes,Friendly People,19890000
